,code,mean_profit,win_rate,sharpe_ratio,trade_times,odds,exp_return,sector
113,ITB,1.4867798836806100,0.3698630136986300,0.18516007576091100,73,3.1245836110130100,1.8337037273943700,Consumer Discretionary
26,IVW,1.5258923468462900,0.45614035087719300,0.27227962576855700,57,2.82639210603595,2.3700866213933100,Growth
45,ROBO,1.5471600109196200,0.38461538461538500,0.25264433775154600,65,3.9226293758577400,2.451245032593290,Robotics
33,MOAT,1.5668697927478200,0.5490196078431370,0.37841886279976300,51,2.1586315283175300,2.6273166729503800,MOAT
27,IWF,1.5721475607817100,0.4666666666666670,0.2677372512347350,60,2.846703340278660,2.490398473030140,Growth
114,XHB,1.6013220563602500,0.3888888888888890,0.2350516917952860,72,3.4027403741988700,2.1650259611510900,Consumer discretionary
23,RSPT,1.6174575139211000,0.45901639344262300,0.30052330771479900,61,2.827105172033560,2.398312579097180,Equal wget tech
120,XOP,1.6533315604594300,0.3050847457627120,0.14454480655247300,59,3.7791500369307600,1.6589003208014900,Energy
118,XLE,1.6607791395127900,0.3684210526315790,0.22887896386139600,57,3.6189340859538100,2.110710687614190,Energy
78,KWEB,1.692151428883730,0.3448275862068970,0.15224599050514900,116,3.0812795854323300,1.621478608755680,China
160,KWEB,1.692151428883730,0.3448275862068970,0.15224599050514900,116,3.0812795854323300,1.621478608755680,China
32,XT,1.6940980874868600,0.5333333333333330,0.2812601090077530,45,2.1650939466820700,2.473862968429130,Exponential Tech
148,REMX,1.7223857324132200,0.3050847457627120,0.119937883303506,59,3.7765272564418200,1.6577490218713100,Materials
40,FINX,1.844337403007030,0.425531914893617,0.24258003017425200,94,2.6833608573608800,1.9873287667412600,Fintech
164,FINX,1.844337403007030,0.425531914893617,0.24258003017425200,94,2.6833608573608800,1.9873287667412600,Fintech
144,XME,1.8752665004754000,0.40350877192982500,0.19572810668491700,57,2.762531607793030,1.8684581402306000,Materials
122,OIH,1.9012818319902700,0.3050847457627120,0.13388888824725500,59,3.8232626676710000,1.6782640551256800,Energy
158,SMH,1.9373709372004300,0.42857142857142900,0.29318791223356700,63,3.082763149504710,2.311667820259990,Semiconductor
